05-05-2024 18:00:04.023,-,SERIAL,"COM14 - 9600/8/N/1/N"
05-05-2024 18:05:47.051,10940,RECV,BC304230423436393130303030464438380D
05-05-2024 18:05:47.364,10941,RECV,BC304230423436463230303030464437410D
05-05-2024 18:05:47.673,10942,RECV,BC304230423436433130303030464437450D
05-05-2024 18:05:47.987,10943,RECV,BC304230423436433230303030464437440D
05-05-2024 18:05:48.298,10944,RECV,BC3042304234363432453030323031464431340D
05-05-2024 18:05:48.606,10945,RECV,BC3042304234363434453030323031464431320D
05-05-2024 18:05:48.921,10946,RECV,BC304230423436393130303030464438380D
05-05-2024 18:05:49.235,10947,RECV,BC304230423436463230303030464437410D
05-05-2024 18:05:49.545,10948,RECV,BC304230423436433130303030464437450D
05-05-2024 18:05:49.853,10949,RECV,BC304230423436433230303030464437440D
05-05-2024 18:05:50.164,10950,RECV,BC3042304234363432453030323031464431340D
05-05-2024 18:05:50.477,10951,RECV,BC3042304234363434453030323031464431320D
05-05-2024 18:05:50.787,10952,RECV,BC304230423436393130303030464438380D
05-05-2024 18:05:51.099,10953,RECV,BC304230423436463230303030464437410D
05-05-2024 18:05:51.410,10954,RECV,BC304230423436433130303030464437450D
05-05-2024 18:05:51.717,10955,RECV,BC304230423436433230303030464437440D
05-05-2024 18:05:52.027,10956,RECV,BC3042304234363432453030323031464431340D
05-05-2024 18:05:52.339,10957,RECV,BC3042304234363434453030323031464431320D
05-05-2024 18:05:55.071,10958,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:55.257,10959,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:55.441,10960,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:55.618,10961,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:05:55.799,10962,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:00.992,10963,RECV,BC304330433436393130303030464438360D
05-05-2024 18:06:01.241,10964,RECV,BC30433043343646323030
05-05-2024 18:06:01.303,10965,RECV,3030464437380D
05-05-2024 18:06:01.550,10966,RECV,BC30433043
05-05-2024 18:06:01.612,10967,RECV,3436433130303030464437430D
05-05-2024 18:06:01.921,10968,RECV,BC304330433436433230303030464437420D
05-05-2024 18:06:02.170,10969,RECV,BC304330433436343245
05-05-2024 18:06:02.233,10970,RECV,3030323031464431320D
05-05-2024 18:06:02.483,10971,RECV,BC
05-05-2024 18:06:02.547,10972,RECV,3043304334363434453030323031464431300D
